Forcing,IncreaseSA2015,IncreaseWorld2015,LUCTaxNone,LUCTaxUnifiedTax,LUCFragmentedTax,IncreaseSA2005,IncreaseWorld2005
6.12831,154.473874788674,97.4206718774851,FALSE,TRUE,FALSE,275.590930723709,133.695358518696
3.86826,398.338991804638,92.8131949102562,FALSE,FALSE,TRUE,719.591877811136,130.211004200653
3.7821,404.545802637731,90.4671930878095,FALSE,FALSE,TRUE,724.538726993357,126.820919745873
3.80819,404.014583110442,90.4500691250185,FALSE,FALSE,TRUE,723.137006497849,126.740301887884
4.48039,398.537750097384,89.6633101024468,FALSE,FALSE,TRUE,714.80043219199,125.878287676793
4.4622,398.5622611336,89.6626323303661,FALSE,FALSE,TRUE,714.840492554317,125.877480488534
4.51978,398.398769063994,89.6532351670326,FALSE,FALSE,TRUE,714.57327987072,125.866269167602
4.50164,398.424135424994,89.6523897980527,FALSE,FALSE,TRUE,714.614738159063,125.865262380993
4.57495,398.084964163926,89.633118964669,FALSE,FALSE,TRUE,714.060403229454,125.842311909115
4.5569,398.108456552858,89.6317380361851,FALSE,FALSE,TRUE,714.098798734203,125.840667301448
4.5314,399.405486118884,89.6309941667941,FALSE,FALSE,TRUE,716.138320099403,125.825118814067
4.51292,399.432147590629,89.6304356854012,FALSE,FALSE,TRUE,716.181890803702,125.82445373752
4.56888,399.277316514001,89.6221233744026,FALSE,FALSE,TRUE,715.928857535775,125.8145513086
4.55048,399.304307178435,89.6212885882321,FALSE,FALSE,TRUE,715.972966212991,125.813557190081
4.6909,401.010745171552,89.6191124961906,FALSE,FALSE,TRUE,718.231255251996,125.751006595203
4.66966,401.041711770496,89.6185378383519,FALSE,FALSE,TRUE,718.281828696515,125.750322436397
3.934,402.288485525211,89.6126106571395,FALSE,FALSE,TRUE,720.291062977431,125.706548075244
4.72705,400.900164450425,89.6122178780675,FALSE,FALSE,TRUE,718.050640932844,125.742786138552
4.7059,400.930957156724,89.6114558877786,FALSE,FALSE,TRUE,718.100930381545,125.741878951173
4.06853,402.171178142209,89.6039159109099,FALSE,FALSE,TRUE,720.099487417427,125.696198230099
4.62112,398.987563860707,89.6034744793714,FALSE,FALSE,TRUE,715.455338023572,125.792342972416
4.60282,399.012645591945,89.6023351653074,FALSE,FALSE,TRUE,715.496327084433,125.790986201963
4.77582,400.632919485692,89.5977968719051,FALSE,FALSE,TRUE,717.614186864346,125.725617212696
4.75469,400.661902710652,89.5966450448353,FALSE,FALSE,TRUE,717.661521138593,125.72424590522
4.61935,400.750933221334,89.591260916215,FALSE,FALSE,TRUE,718.177206913327,125.749250243183
4.60051,400.779861634668,89.5905388167599,FALSE,FALSE,TRUE,718.224473062727,125.74839042818
4.65547,400.640947876745,89.5843935301421,FALSE,FALSE,TRUE,717.997476439725,125.741066904199
4.78164,402.487535061775,89.584251842388,FALSE,FALSE,TRUE,720.616134212277,125.672793266709
4.76207,402.518247912084,89.5836172307732,FALSE,FALSE,TRUE,720.666291596754,125.672037852827
4.63672,400.669647820837,89.5834602247486,FALSE,FALSE,TRUE,718.04436929166,125.739955603045
4.81454,402.391574091348,89.5797639992866,FALSE,FALSE,TRUE,720.459417681816,125.66744885218
4.79512,402.421016166957,89.5788897226259,FALSE,FALSE,TRUE,720.507499754557,125.66640815153
4.70503,400.370254693309,89.5697806938806,FALSE,FALSE,TRUE,717.555190722029,125.723667174259
4.85874,402.156015900908,89.5695129161213,FALSE,FALSE,TRUE,720.074725848343,125.655246411703
4.68637,400.396787240652,89.5684445512556,FALSE,FALSE,TRUE,717.598542263412,125.722076208589
4.83942,402.182504549085,89.5682964109177,FALSE,FALSE,TRUE,720.11798465677,125.653798337183
3.88863,401.704830344965,89.5253394518355,FALSE,FALSE,TRUE,719.735754496931,125.670750300634
4.31425,393.892501146,89.5084533137351,FALSE,FALSE,TRUE,707.208327376481,125.693861989767
4.3437,393.844357031122,89.5080747507244,FALSE,FALSE,TRUE,707.129641568631,125.693411142607
4.34946,393.777701340868,89.5009391677306,FALSE,FALSE,TRUE,707.020696426741,125.68489325202
4.37905,393.728648860948,89.5006316317945,FALSE,FALSE,TRUE,706.940526005115,125.684526994126
4.42869,393.507473803082,89.4878671727698,FALSE,FALSE,TRUE,706.579041781048,125.669325245865
4.3991,393.559230653857,89.4878406517151,FALSE,FALSE,TRUE,706.663632173938,125.66929366079
4.36186,394.604101633495,89.460358854643,FALSE,FALSE,TRUE,708.29180263619,125.621915008646
4.39145,394.555876878781,89.4601428063579,FALSE,FALSE,TRUE,708.212992788494,125.621657724072
4.39519,394.500550781751,89.454274214511,FALSE,FALSE,TRUE,708.122572576059,125.61466544057
4.42488,394.451023078161,89.4541703955987,FALSE,FALSE,TRUE,708.041633424069,125.614541806151
4.47166,394.247756184949,89.4430544553366,FALSE,FALSE,TRUE,707.709450650151,125.601304210147
4.44199,394.299989051808,89.4428989527034,FALSE,FALSE,TRUE,707.794810633416,125.601119027338
4.54413,395.893089428029,89.4304678354669,FALSE,FALSE,TRUE,709.873299013878,125.526415722022
4.51074,395.947554842369,89.4295031884667,FALSE,FALSE,TRUE,709.96224980939,125.525267261678
4.57625,395.807000078072,89.426584838528,FALSE,FALSE,TRUE,709.732683234126,125.521780762348
4.54283,395.863294404863,89.4255169794604,FALSE,FALSE,TRUE,709.824620936248,125.520509422959
4.6195,395.63762379569,89.419213962621,FALSE,FALSE,TRUE,709.456064486129,125.513005367586
4.58603,395.698815538246,89.418516837885,FALSE,FALSE,TRUE,709.556000456949,125.512175405878
