HYD,IRR,ENV,RCP,MODEL
14.19,158.47,2328.68,45.00,1.00
14.15,163.87,2330.20,45.00,1.00
14.10,170.37,2331.96,45.00,1.00
14.04,177.98,2333.98,45.00,1.00
13.97,186.69,2336.17,45.00,1.00
13.90,196.43,2338.54,45.00,1.00
13.82,206.79,2341.01,45.00,1.00
13.74,217.71,2343.53,45.00,1.00
13.65,229.18,2346.08,45.00,1.00
13.56,241.21,2348.58,45.00,1.00
13.47,253.73,2350.82,45.00,1.00
13.37,266.29,2352.28,45.00,1.00
13.27,278.82,2352.94,45.00,1.00
13.17,291.32,2354.47,45.00,1.00
13.08,303.86,2355.33,45.00,1.00
12.98,316.28,2355.45,45.00,1.00
12.89,327.84,2356.14,45.00,1.00
12.81,338.45,2356.09,45.00,1.00
12.74,348.11,2355.50,45.00,1.00
12.67,356.77,2354.72,45.00,1.00
12.61,365.11,2355.19,45.00,1.00
12.53,377.32,2356.36,45.00,1.00
12.41,394.21,2358.41,45.00,1.00
12.26,415.66,2360.57,45.00,1.00
12.08,441.79,2362.16,45.00,1.00
11.87,471.62,2365.15,45.00,1.00
11.66,499.74,2366.90,45.00,1.00
11.47,525.05,2366.26,45.00,1.00
11.29,548.02,2363.05,45.00,1.00
11.10,568.69,2343.70,45.00,1.00
10.96,587.00,2339.44,45.00,1.00
10.83,605.15,2336.03,45.00,1.00
10.70,623.59,2334.50,45.00,1.00
10.56,642.20,2333.41,45.00,1.00
10.43,661.24,2333.17,45.00,1.00
10.29,680.29,2331.87,45.00,1.00
10.17,696.95,2330.77,45.00,1.00
10.07,710.99,2328.49,45.00,1.00
9.99,722.49,2326.14,45.00,1.00
9.92,731.25,2323.65,45.00,1.00
9.88,737.55,2323.16,45.00,1.00
9.84,743.41,2323.06,45.00,1.00
9.80,749.25,2322.89,45.00,1.00
9.76,754.98,2322.77,45.00,1.00
9.72,760.61,2322.47,45.00,1.00
9.69,766.13,2322.00,45.00,1.00
9.65,771.28,2321.40,45.00,1.00
9.62,776.04,2320.69,45.00,1.00
9.59,780.39,2319.86,45.00,1.00
9.56,784.54,2318.95,45.00,1.00
9.54,788.30,2317.93,45.00,1.00
9.51,792.10,2316.68,45.00,1.00
9.49,795.94,2316.16,45.00,1.00
9.46,799.95,2315.49,45.00,1.00
9.43,804.15,2315.13,45.00,1.00
9.40,808.36,2314.73,45.00,1.00
9.38,812.14,2314.32,45.00,1.00
9.36,815.44,2313.91,45.00,1.00
9.34,818.27,2313.54,45.00,1.00
9.32,820.57,2313.21,45.00,1.00
9.31,822.41,2312.94,45.00,1.00
9.30,824.21,2312.65,45.00,1.00
9.29,826.05,2312.34,45.00,1.00
9.27,827.94,2311.98,45.00,1.00
9.26,829.86,2311.58,45.00,1.00
9.25,831.79,2311.16,45.00,1.00
9.23,833.55,2310.70,45.00,1.00
9.22,835.16,2310.21,45.00,1.00
9.21,836.56,2309.68,45.00,1.00
9.20,837.71,2309.19,45.00,1.00
9.19,838.70,2309.13,45.00,1.00
9.19,839.64,2309.09,45.00,1.00
9.18,840.49,2309.11,45.00,1.00
9.17,841.29,2309.12,45.00,1.00
9.17,842.04,2309.14,45.00,1.00
9.17,842.75,2309.19,45.00,1.00
9.16,843.45,2309.22,45.00,1.00
9.16,844.14,2309.24,45.00,1.00
9.16,844.82,2309.27,45.00,1.00
9.15,845.49,2309.30,45.00,1.00
9.15,846.14,2309.32,45.00,1.00
9.15,846.68,2309.32,45.00,1.00
9.15,847.08,2309.34,45.00,1.00
9.15,847.36,2309.37,45.00,1.00
9.15,847.51,2309.39,45.00,1.00
9.15,847.52,2309.41,45.00,1.00
9.15,847.41,2309.44,45.00,1.00
9.15,847.14,2309.48,45.00,1.00
14.46,119.24,2319.81,45.00,1.00
14.42,126.23,2321.03,45.00,1.00
14.38,132.71,2322.27,45.00,1.00
14.34,138.69,2323.51,45.00,1.00
14.30,144.19,2324.77,45.00,1.00
14.27,149.22,2326.04,45.00,1.00
14.23,153.79,2327.31,45.00,1.00
14.19,158.14,2328.62,45.00,1.00
14.15,163.35,2330.11,45.00,1.00
14.10,169.63,2331.84,45.00,1.00
14.04,176.98,2333.80,45.00,1.00
13.98,185.40,2335.95,45.00,1.00
13.91,194.81,2338.26,45.00,1.00
13.83,204.84,2340.70,45.00,1.00
13.75,215.43,2343.18,45.00,1.00
13.67,226.59,2345.69,45.00,1.00
13.58,238.32,2348.20,45.00,1.00
13.49,250.54,2350.49,45.00,1.00
13.39,262.76,2352.14,45.00,1.00
13.29,274.92,2352.60,45.00,1.00
13.20,287.02,2354.21,45.00,1.00
13.10,299.12,2355.24,45.00,1.00
13.01,311.08,2355.34,45.00,1.00
12.92,322.18,2356.06,45.00,1.00
12.85,332.30,2356.26,45.00,1.00
12.78,341.44,2355.83,45.00,1.00
12.72,349.59,2355.37,45.00,1.00
12.66,357.37,2354.84,45.00,1.00
12.58,368.82,2355.77,45.00,1.00
12.47,384.70,2357.70,45.00,1.00
12.33,404.99,2359.99,45.00,1.00
12.15,429.72,2361.93,45.00,1.00
11.95,457.96,2364.29,45.00,1.00
11.76,484.52,2366.58,45.00,1.00
11.58,508.44,2366.91,45.00,1.00
11.41,529.85,2365.31,45.00,1.00
11.25,548.76,2358.42,45.00,1.00
11.10,565.87,2343.12,45.00,1.00
10.98,582.63,2339.05,45.00,1.00
10.85,599.49,2336.13,45.00,1.00
10.73,616.51,2334.63,45.00,1.00
10.60,633.58,2333.68,45.00,1.00
10.48,650.53,2333.61,45.00,1.00
10.38,665.47,2332.28,45.00,1.00
10.29,677.75,2331.68,45.00,1.00
10.22,687.41,2330.80,45.00,1.00
10.16,694.55,2329.90,45.00,1.00
10.13,699.41,2328.77,45.00,1.00
10.09,703.86,2327.82,45.00,1.00
10.06,708.24,2326.90,45.00,1.00
10.03,712.69,2325.72,45.00,1.00
10.00,716.92,2324.20,45.00,1.00
9.97,720.96,2323.46,45.00,1.00
9.94,724.62,2323.34,45.00,1.00
9.92,727.79,2323.28,45.00,1.00
9.90,730.53,2323.19,45.00,1.00
9.89,732.81,2323.09,45.00,1.00
9.87,734.71,2322.99,45.00,1.00
9.86,736.65,2322.86,45.00,1.00
9.85,738.72,2322.61,45.00,1.00
9.83,740.93,2322.26,45.00,1.00
9.81,743.29,2321.79,45.00,1.00
9.80,745.70,2321.12,45.00,1.00
9.78,747.63,2320.29,45.00,1.00
9.77,749.22,2319.33,45.00,1.00
9.76,750.19,2318.34,45.00,1.00
9.76,750.53,2317.46,45.00,1.00
9.76,750.32,2317.23,45.00,1.00
9.76,750.10,2317.00,45.00,1.00
9.76,749.97,2316.70,45.00,1.00
9.76,749.91,2316.53,45.00,1.00
9.76,749.94,2316.42,45.00,1.00
9.76,750.04,2316.30,45.00,1.00
9.75,750.11,2316.15,45.00,1.00
9.75,750.14,2315.96,45.00,1.00
9.75,750.16,2315.71,45.00,1.00
9.75,750.19,2315.40,45.00,1.00
9.75,750.22,2315.04,45.00,1.00
9.75,750.10,2314.73,45.00,1.00
9.76,749.76,2314.50,45.00,1.00
9.76,749.18,2314.39,45.00,1.00
9.77,748.33,2314.40,45.00,1.00
9.78,747.18,2314.51,45.00,1.00
9.79,745.81,2314.65,45.00,1.00
9.81,744.25,2314.83,45.00,1.00
9.82,742.51,2315.04,45.00,1.00
9.84,740.58,2315.26,45.00,1.00
9.85,738.47,2315.50,45.00,1.00
9.87,736.20,2315.76,45.00,1.00
9.89,733.76,2316.03,45.00,1.00
9.91,731.19,2316.29,45.00,1.00
9.93,728.47,2316.57,45.00,1.00
9.95,725.61,2316.83,45.00,1.00
9.98,722.61,2317.13,45.00,1.00
10.00,719.46,2317.57,45.00,1.00
14.46,119.18,2319.80,45.00,1.00
14.42,126.14,2321.02,45.00,1.00
14.38,132.63,2322.25,45.00,1.00
14.34,138.64,2323.51,45.00,1.00
14.30,144.19,2324.77,45.00,1.00
14.27,149.30,2326.05,45.00,1.00
14.23,153.99,2327.35,45.00,1.00
14.19,158.47,2328.68,45.00,1.00
14.15,163.87,2330.20,45.00,1.00
14.10,170.37,2331.96,45.00,1.00
14.04,177.98,2333.98,45.00,1.00
13.97,186.68,2336.17,45.00,1.00
13.90,196.43,2338.54,45.00,1.00
13.82,206.78,2341.01,45.00,1.00
13.74,217.69,2343.53,45.00,1.00
13.66,229.15,2346.07,45.00,1.00
13.56,241.17,2348.58,45.00,1.00
13.47,253.68,2350.81,45.00,1.00
13.37,266.22,2352.27,45.00,1.00
13.27,278.73,2352.93,45.00,1.00
13.17,291.22,2354.46,45.00,1.00
13.08,303.73,2355.33,45.00,1.00
12.98,316.12,2355.43,45.00,1.00
12.89,327.67,2356.14,45.00,1.00
12.81,338.25,2356.11,45.00,1.00
12.74,347.88,2355.50,45.00,1.00
12.67,356.53,2354.74,45.00,1.00
12.61,364.85,2355.17,45.00,1.00
12.53,377.04,2356.33,45.00,1.00
12.41,393.91,2358.37,45.00,1.00
12.26,415.35,2360.54,45.00,1.00
12.08,441.46,2362.15,45.00,1.00
11.87,471.29,2365.11,45.00,1.00
11.66,499.40,2366.89,45.00,1.00
11.47,524.70,2366.28,45.00,1.00
11.29,547.69,2363.17,45.00,1.00
11.10,568.38,2343.78,45.00,1.00
10.97,586.72,2339.50,45.00,1.00
10.83,604.89,2336.06,45.00,1.00
10.70,623.37,2334.49,45.00,1.00
10.56,642.02,2333.41,45.00,1.00
10.43,661.10,2333.18,45.00,1.00
10.29,680.20,2331.87,45.00,1.00
10.17,696.92,2330.77,45.00,1.00
10.07,711.04,2328.50,45.00,1.00
9.98,722.61,2326.14,45.00,1.00
9.92,731.46,2323.64,45.00,1.00
9.88,737.85,2323.14,45.00,1.00
9.84,743.82,2323.03,45.00,1.00
9.80,749.75,2322.86,45.00,1.00
9.76,755.58,2322.74,45.00,1.00
9.72,761.31,2322.42,45.00,1.00
9.68,766.92,2321.93,45.00,1.00
9.65,772.16,2321.31,45.00,1.00
9.62,777.00,2320.55,45.00,1.00
9.58,781.43,2319.66,45.00,1.00
9.56,785.64,2318.70,45.00,1.00
9.53,789.45,2317.62,45.00,1.00
9.51,793.29,2316.53,45.00,1.00
9.48,797.17,2315.98,45.00,1.00
9.45,801.21,2315.36,45.00,1.00
9.42,805.44,2315.01,45.00,1.00
9.39,809.67,2314.59,45.00,1.00
9.37,813.46,2314.15,45.00,1.00
9.35,816.78,2313.73,45.00,1.00
9.33,819.59,2313.35,45.00,1.00
9.31,821.86,2313.01,45.00,1.00
9.30,823.66,2312.73,45.00,1.00
9.29,825.44,2312.44,45.00,1.00
9.28,827.25,2312.10,45.00,1.00
9.26,829.10,2311.75,45.00,1.00
9.25,830.99,2311.35,45.00,1.00
9.24,832.87,2310.91,45.00,1.00
9.23,834.59,2310.44,45.00,1.00
9.22,836.15,2309.95,45.00,1.00
9.21,837.41,2309.42,45.00,1.00
9.20,838.46,2309.15,45.00,1.00
9.19,839.33,2309.08,45.00,1.00
9.18,840.17,2309.08,45.00,1.00
9.18,840.95,2309.09,45.00,1.00
9.17,841.72,2309.11,45.00,1.00
9.17,842.47,2309.14,45.00,1.00
9.16,843.20,2309.18,45.00,1.00
9.16,843.91,2309.20,45.00,1.00
9.16,844.61,2309.23,45.00,1.00
9.15,845.30,2309.26,45.00,1.00
9.15,845.97,2309.29,45.00,1.00
9.15,846.60,2309.31,45.00,1.00
9.14,847.12,2309.31,45.00,1.00
9.14,847.52,2309.33,45.00,1.00
9.14,847.78,2309.36,45.00,1.00
9.14,847.91,2309.39,45.00,1.00
9.14,847.92,2309.41,45.00,1.00
9.15,847.80,2309.43,45.00,1.00
9.15,847.52,2309.46,45.00,1.00
14.46,119.24,2319.81,45.00,1.00
14.42,126.23,2321.03,45.00,1.00
14.38,132.71,2322.27,45.00,1.00
14.34,138.69,2323.51,45.00,1.00
14.30,144.19,2324.77,45.00,1.00
14.27,149.22,2326.04,45.00,1.00
14.23,153.79,2327.31,45.00,1.00
14.19,158.14,2328.62,45.00,1.00
14.15,163.35,2330.11,45.00,1.00
14.10,169.63,2331.84,45.00,1.00
14.04,176.98,2333.81,45.00,1.00
13.98,185.39,2335.95,45.00,1.00
13.91,194.80,2338.26,45.00,1.00
13.83,204.83,2340.69,45.00,1.00
13.75,215.42,2343.17,45.00,1.00
13.67,226.56,2345.68,45.00,1.00
13.58,238.28,2348.19,45.00,1.00
13.49,250.48,2350.48,45.00,1.00
13.39,262.69,2352.14,45.00,1.00
13.29,274.83,2352.59,45.00,1.00
13.20,286.91,2354.20,45.00,1.00
13.11,298.99,2355.23,45.00,1.00
13.01,310.93,2355.35,45.00,1.00
12.93,322.01,2356.05,45.00,1.00
12.85,332.10,2356.26,45.00,1.00
12.78,341.21,2355.85,45.00,1.00
12.72,349.35,2355.40,45.00,1.00
12.66,357.11,2354.81,45.00,1.00
12.58,368.53,2355.73,45.00,1.00
12.47,384.40,2357.66,45.00,1.00
12.33,404.66,2359.95,45.00,1.00
12.15,429.37,2361.91,45.00,1.00
11.95,457.60,2364.24,45.00,1.00
11.76,484.14,2366.55,45.00,1.00
11.58,508.07,2366.92,45.00,1.00
11.41,529.48,2365.38,45.00,1.00
11.26,548.39,2359.35,45.00,1.00
11.11,565.52,2343.23,45.00,1.00
10.98,582.32,2339.13,45.00,1.00
10.86,599.21,2336.17,45.00,1.00
10.73,616.26,2334.63,45.00,1.00
10.61,633.38,2333.66,45.00,1.00
10.48,650.37,2333.61,45.00,1.00
10.38,665.36,2332.30,45.00,1.00
10.29,677.71,2331.67,45.00,1.00
10.22,687.45,2330.80,45.00,1.00
10.16,694.68,2329.90,45.00,1.00
10.12,699.64,2328.76,45.00,1.00
10.09,704.19,2327.79,45.00,1.00
10.06,708.68,2326.85,45.00,1.00
10.03,713.23,2325.63,45.00,1.00
10.00,717.56,2324.04,45.00,1.00
9.97,721.71,2323.39,45.00,1.00
9.94,725.46,2323.30,45.00,1.00
9.92,728.71,2323.23,45.00,1.00
9.90,731.53,2323.13,45.00,1.00
9.88,733.88,2323.02,45.00,1.00
9.87,735.83,2322.91,45.00,1.00
9.85,737.83,2322.77,45.00,1.00
9.84,739.95,2322.48,45.00,1.00
9.82,742.20,2322.12,45.00,1.00
9.81,744.60,2321.62,45.00,1.00
9.79,747.04,2320.87,45.00,1.00
9.77,749.02,2319.96,45.00,1.00
9.76,750.71,2318.91,45.00,1.00
9.75,751.61,2317.79,45.00,1.00
9.75,751.89,2317.25,45.00,1.00
9.75,751.16,2316.41,45.00,1.00
9.75,751.17,2316.31,45.00,1.00
9.75,751.24,2316.18,45.00,1.00
9.75,751.27,2316.02,45.00,1.00
9.75,751.25,2315.81,45.00,1.00
9.74,751.21,2315.55,45.00,1.00
9.74,751.15,2315.25,45.00,1.00
9.77,749.17,2314.23,45.00,1.00
9.78,748.01,2314.34,45.00,1.00
9.79,746.58,2314.50,45.00,1.00
9.80,744.91,2314.71,45.00,1.00
9.82,743.04,2314.94,45.00,1.00
9.83,740.95,2315.19,45.00,1.00
9.85,738.65,2315.47,45.00,1.00
9.87,736.23,2315.76,45.00,1.00
9.89,733.68,2316.04,45.00,1.00
9.91,731.04,2316.31,45.00,1.00
9.93,728.31,2316.59,45.00,1.00
9.96,725.47,2316.86,45.00,1.00
9.98,722.53,2317.16,45.00,1.00
10.00,719.49,2317.58,45.00,1.00
14.46,119.18,2319.80,45.00,1.00
14.42,126.14,2321.02,45.00,1.00
14.38,132.63,2322.25,45.00,1.00
14.34,138.64,2323.50,45.00,1.00
14.30,144.19,2324.77,45.00,1.00
14.27,149.30,2326.05,45.00,1.00
14.23,153.99,2327.35,45.00,1.00
14.19,158.48,2328.68,45.00,1.00
14.15,163.87,2330.20,45.00,1.00
14.10,170.37,2331.96,45.00,1.00
14.04,177.97,2333.98,45.00,1.00
13.97,186.68,2336.17,45.00,1.00
13.90,196.42,2338.53,45.00,1.00
13.82,206.77,2341.01,45.00,1.00
13.74,217.66,2343.52,45.00,1.00
13.66,229.11,2346.06,45.00,1.00
13.57,241.12,2348.57,45.00,1.00
12.89,327.43,2356.13,45.00,1.00
12.81,337.99,2356.11,45.00,1.00
12.74,347.60,2355.51,45.00,1.00
12.68,356.22,2354.77,45.00,1.00
12.62,364.52,2355.14,45.00,1.00
12.53,376.69,2356.28,45.00,1.00
12.41,393.55,2358.32,45.00,1.00
12.27,414.97,2360.50,45.00,1.00
12.08,441.08,2362.13,45.00,1.00
11.87,470.89,2365.06,45.00,1.00
11.66,499.01,2366.88,45.00,1.00
11.47,524.32,2366.30,45.00,1.00
11.29,547.33,2363.28,45.00,1.00
11.11,568.05,2343.86,45.00,1.00
10.17,696.91,2330.77,45.00,1.00
10.07,711.09,2328.50,45.00,1.00
9.98,722.74,2326.13,45.00,1.00
9.92,731.67,2323.61,45.00,1.00
9.88,738.15,2323.12,45.00,1.00
9.84,744.20,2323.01,45.00,1.00
9.79,750.21,2322.83,45.00,1.00
9.75,756.11,2322.71,45.00,1.00
9.72,761.91,2322.38,45.00,1.00
9.68,767.58,2321.87,45.00,1.00
9.64,772.88,2321.23,45.00,1.00
9.50,794.17,2316.40,45.00,1.00
9.47,798.08,2315.82,45.00,1.00
9.44,802.15,2315.27,45.00,1.00
9.42,806.38,2314.91,45.00,1.00
9.39,810.61,2314.47,45.00,1.00
9.36,814.41,2314.03,45.00,1.00
9.34,817.73,2313.60,45.00,1.00
9.32,820.52,2313.20,45.00,1.00
9.31,822.74,2312.86,45.00,1.00
9.30,824.52,2312.58,45.00,1.00
9.19,838.90,2309.12,45.00,1.00
9.19,839.71,2309.07,45.00,1.00
9.18,840.47,2309.07,45.00,1.00
9.17,841.21,2309.08,45.00,1.00
9.17,841.95,2309.10,45.00,1.00
9.17,842.70,2309.13,45.00,1.00
9.16,843.44,2309.17,45.00,1.00
9.16,844.16,2309.21,45.00,1.00
9.15,844.86,2309.24,45.00,1.00
9.15,845.54,2309.26,45.00,1.00
9.15,846.20,2309.28,45.00,1.00
9.15,846.83,2309.29,45.00,1.00
9.14,847.34,2309.32,45.00,1.00
9.14,847.73,2309.33,45.00,1.00
9.14,847.98,2309.37,45.00,1.00
9.14,848.11,2309.37,45.00,1.00
9.14,848.11,2309.40,45.00,1.00
9.14,847.99,2309.43,45.00,1.00
9.15,847.72,2309.46,45.00,1.00
14.46,119.24,2319.81,45.00,1.00
14.42,126.23,2321.03,45.00,1.00
14.23,153.80,2327.31,45.00,1.00
14.19,158.14,2328.62,45.00,1.00
14.15,163.35,2330.12,45.00,1.00
14.10,169.63,2331.84,45.00,1.00
14.04,176.98,2333.80,45.00,1.00
13.98,185.39,2335.95,45.00,1.00
13.91,194.80,2338.26,45.00,1.00
13.83,204.82,2340.69,45.00,1.00
13.75,215.39,2343.17,45.00,1.00
13.67,226.53,2345.68,45.00,1.00
13.58,238.22,2348.18,45.00,1.00
13.49,250.40,2350.47,45.00,1.00
13.39,262.59,2352.13,45.00,1.00
13.29,274.71,2352.56,45.00,1.00
13.20,286.76,2354.18,45.00,1.00
13.11,298.81,2355.23,45.00,1.00
13.01,310.72,2355.35,45.00,1.00
12.93,321.77,2356.04,45.00,1.00
12.85,331.84,2356.26,45.00,1.00
12.78,340.93,2355.89,45.00,1.00
12.58,368.18,2355.69,45.00,1.00
12.47,384.02,2357.61,45.00,1.00
12.33,404.27,2359.91,45.00,1.00
12.16,428.95,2361.88,45.00,1.00
11.95,457.17,2364.19,45.00,1.00
11.76,483.71,2366.52,45.00,1.00
11.58,507.65,2366.93,45.00,1.00
11.42,529.07,2365.46,45.00,1.00
11.26,548.01,2359.95,45.00,1.00
11.11,565.16,2343.34,45.00,1.00
10.98,582.01,2339.22,45.00,1.00
10.86,598.94,2336.20,45.00,1.00
10.73,616.04,2334.63,45.00,1.00
10.61,633.20,2333.65,45.00,1.00
10.49,650.24,2333.60,45.00,1.00
10.38,665.29,2332.31,45.00,1.00
10.22,687.51,2330.79,45.00,1.00
10.16,694.82,2329.89,45.00,1.00
10.12,699.87,2328.73,45.00,1.00
10.09,704.51,2327.75,45.00,1.00
10.06,709.10,2326.78,45.00,1.00
10.02,713.71,2325.53,45.00,1.00
9.99,718.12,2323.90,45.00,1.00
9.96,722.34,2323.34,45.00,1.00
9.91,729.47,2323.18,45.00,1.00
9.89,732.33,2323.07,45.00,1.00
9.87,734.73,2322.96,45.00,1.00
9.86,736.71,2322.84,45.00,1.00
9.85,738.73,2322.68,45.00,1.00
9.83,740.88,2322.37,45.00,1.00
9.82,743.16,2322.01,45.00,1.00
9.80,745.57,2321.48,45.00,1.00
9.78,748.02,2320.69,45.00,1.00
9.76,750.04,2319.70,45.00,1.00
9.75,751.70,2318.56,45.00,1.00
9.74,752.28,2316.58,45.00,1.00
9.74,752.08,2316.43,45.00,1.00
9.74,751.97,2316.34,45.00,1.00
9.74,751.95,2316.23,45.00,1.00
9.74,751.99,2316.10,45.00,1.00
9.74,751.99,2315.93,45.00,1.00
12.89,122.49,2344.18,85.00,1.00
12.86,129.61,2344.62,85.00,1.00
12.82,136.30,2345.02,85.00,1.00
12.79,142.55,2345.37,85.00,1.00
12.75,148.39,2345.77,85.00,1.00
12.72,153.82,2346.61,85.00,1.00
12.68,158.89,2347.27,85.00,1.00
12.65,163.79,2348.40,85.00,1.00
12.60,169.52,2349.74,85.00,1.00
12.56,176.27,2350.71,85.00,1.00
12.51,184.04,2351.37,85.00,1.00
12.45,192.83,2351.82,85.00,1.00
12.38,202.56,2351.84,85.00,1.00
12.31,212.49,2350.98,85.00,1.00
12.25,222.48,2349.26,85.00,1.00
12.18,232.56,2347.09,85.00,1.00
12.11,242.78,2344.04,85.00,1.00
12.05,253.06,2344.73,85.00,1.00
11.98,263.72,2345.38,85.00,1.00
11.91,274.87,2345.24,85.00,1.00
11.83,286.40,2340.61,85.00,1.00
11.75,298.50,2337.12,85.00,1.00
11.66,310.80,2335.66,85.00,1.00
11.57,323.51,2334.92,85.00,1.00
11.49,336.37,2332.78,85.00,1.00
11.41,349.44,2328.99,85.00,1.00
11.33,362.59,2324.28,85.00,1.00
11.26,375.86,2324.56,85.00,1.00
11.18,389.45,2323.61,85.00,1.00
11.10,403.10,2321.60,85.00,1.00
11.01,416.89,2320.36,85.00,1.00
10.93,430.85,2321.05,85.00,1.00
10.84,444.93,2322.16,85.00,1.00
10.76,459.00,2323.15,85.00,1.00
10.68,473.06,2323.64,85.00,1.00
10.60,486.96,2324.00,85.00,1.00
10.52,500.74,2324.24,85.00,1.00
10.44,514.47,2325.24,85.00,1.00
10.36,528.17,2326.95,85.00,1.00
10.28,541.97,2327.08,85.00,1.00
10.20,555.85,2325.89,85.00,1.00
10.12,569.67,2325.91,85.00,1.00
10.04,583.43,2326.56,85.00,1.00
9.97,595.16,2327.05,85.00,1.00
9.92,604.69,2327.87,85.00,1.00
9.87,612.03,2328.47,85.00,1.00
9.85,617.17,2328.87,85.00,1.00
9.83,620.43,2329.13,85.00,1.00
9.81,623.60,2329.50,85.00,1.00
9.79,626.97,2329.89,85.00,1.00
9.77,630.56,2330.29,85.00,1.00
9.75,634.36,2330.70,85.00,1.00
9.73,638.31,2331.13,85.00,1.00
9.71,641.96,2331.51,85.00,1.00
9.69,645.23,2331.87,85.00,1.00
9.67,648.12,2332.34,85.00,1.00
9.66,650.64,2332.77,85.00,1.00
9.65,652.82,2333.17,85.00,1.00
9.64,654.94,2333.55,85.00,1.00
9.62,657.05,2333.87,85.00,1.00
9.61,659.15,2334.19,85.00,1.00
9.60,661.24,2334.49,85.00,1.00
9.59,663.30,2334.80,85.00,1.00
9.58,665.32,2335.09,85.00,1.00
9.57,667.28,2335.37,85.00,1.00
9.56,669.17,2335.64,85.00,1.00
9.55,671.01,2335.90,85.00,1.00
9.54,672.79,2336.16,85.00,1.00
9.53,674.45,2336.40,85.00,1.00
9.52,676.01,2336.62,85.00,1.00
9.52,677.44,2336.83,85.00,1.00
9.51,678.76,2337.03,85.00,1.00
9.50,679.98,2337.22,85.00,1.00
9.50,681.16,2337.39,85.00,1.00
9.49,682.30,2337.57,85.00,1.00
9.49,683.42,2337.74,85.00,1.00
9.48,684.51,2337.91,85.00,1.00
9.48,685.57,2338.07,85.00,1.00
9.47,686.60,2338.23,85.00,1.00
9.47,687.60,2338.38,85.00,1.00
9.46,688.58,2338.53,85.00,1.00
9.46,689.52,2338.68,85.00,1.00
9.46,690.45,2338.82,85.00,1.00
9.45,691.37,2338.95,85.00,1.00
9.45,692.29,2339.09,85.00,1.00
9.44,693.20,2339.22,85.00,1.00
9.44,694.11,2339.34,85.00,1.00
9.44,694.98,2339.46,85.00,1.00
9.43,695.75,2339.57,85.00,1.00
9.43,696.38,2339.67,85.00,1.00
9.43,696.89,2339.75,85.00,1.00
9.43,697.27,2339.82,85.00,1.00
9.43,697.51,2339.88,85.00,1.00
9.43,697.64,2339.93,85.00,1.00
9.43,697.62,2339.97,85.00,1.00
12.89,122.53,2344.21,85.00,1.00
12.85,129.67,2344.67,85.00,1.00
12.82,136.36,2345.07,85.00,1.00
12.78,142.60,2345.40,85.00,1.00
12.75,148.39,2345.77,85.00,1.00
12.72,153.74,2346.53,85.00,1.00
12.69,158.67,2347.14,85.00,1.00
22.09,110.27,1723.02,26.00,2.00
22.05,116.76,1725.16,26.00,2.00
22.01,122.72,1727.40,26.00,2.00
21.97,128.17,1729.74,26.00,2.00
21.92,133.11,1732.17,26.00,2.00
21.88,137.55,1734.70,26.00,2.00
21.84,141.50,1737.33,26.00,2.00
21.80,145.18,1740.11,26.00,2.00
21.75,149.72,1743.34,26.00,2.00
21.69,155.32,1747.07,26.00,2.00
21.63,161.98,1751.29,26.00,2.00
21.55,169.70,1756.03,26.00,2.00
21.47,178.33,1761.20,26.00,2.00
21.39,186.91,1766.43,26.00,2.00
21.31,195.30,1771.66,26.00,2.00
21.23,203.48,1776.87,26.00,2.00
21.15,211.48,1782.04,26.00,2.00
21.07,219.31,1787.21,26.00,2.00
20.99,227.20,1792.52,26.00,2.00
20.90,235.19,1797.99,26.00,2.00
20.81,243.29,1803.62,26.00,2.00
20.72,251.50,1809.42,26.00,2.00
20.63,259.86,1815.37,26.00,2.00
20.54,268.60,1821.30,26.00,2.00
20.45,277.71,1827.17,26.00,2.00
20.35,287.20,1833.03,26.00,2.00
20.26,297.05,1838.88,26.00,2.00
20.17,307.03,1844.60,26.00,2.00
20.09,315.82,1849.53,26.00,2.00
20.03,323.18,1853.47,26.00,2.00
19.98,329.12,1856.44,26.00,2.00
19.94,333.65,1858.45,26.00,2.00
19.92,336.88,1859.60,26.00,2.00
19.90,339.67,1860.59,26.00,2.00
19.88,342.14,1861.53,26.00,2.00
19.86,344.28,1862.40,26.00,2.00
19.85,346.10,1863.23,26.00,2.00
19.84,347.63,1863.99,26.00,2.00
19.83,349.06,1864.70,26.00,2.00
19.81,350.41,1865.34,26.00,2.00
19.80,351.69,1865.94,26.00,2.00
19.80,352.90,1866.48,26.00,2.00
19.79,353.83,1866.85,26.00,2.00
19.80,353.24,1866.33,26.00,2.00
19.82,350.93,1864.81,26.00,2.00
19.86,346.90,1862.26,26.00,2.00
19.92,341.14,1858.70,26.00,2.00
19.99,333.95,1854.26,26.00,2.00
20.06,326.98,1849.95,26.00,2.00
20.12,320.51,1845.96,26.00,2.00
20.17,314.53,1842.30,26.00,2.00
20.23,309.05,1838.99,26.00,2.00
20.28,304.01,1835.98,26.00,2.00
20.32,299.07,1833.05,26.00,2.00
20.37,294.19,1830.15,26.00,2.00
20.41,289.35,1827.29,26.00,2.00
20.46,284.57,1824.47,26.00,2.00
20.50,279.87,1821.70,26.00,2.00
20.55,275.50,1819.11,26.00,2.00
20.58,271.48,1816.72,26.00,2.00
20.62,267.82,1814.53,26.00,2.00
20.65,264.53,1812.55,26.00,2.00
20.68,261.56,1810.76,26.00,2.00
