HYD,IRR,ENV,RCP,MODEL
12.53,376.16,2356.51,45.00,1.00
12.51,379.58,2356.83,45.00,1.00
12.49,382.54,2357.12,45.00,1.00
12.48,385.18,2357.41,45.00,1.00
12.46,387.50,2357.67,45.00,1.00
12.45,389.49,2357.91,45.00,1.00
12.44,391.19,2358.13,45.00,1.00
12.43,392.78,2358.34,45.00,1.00
12.42,394.30,2358.54,45.00,1.00
12.41,395.71,2358.73,45.00,1.00
12.40,397.03,2358.90,45.00,1.00
12.39,398.03,2359.04,45.00,1.00
12.40,397.28,2358.95,45.00,1.00
12.42,394.53,2358.60,45.00,1.00
12.46,389.80,2357.97,45.00,1.00
12.50,383.07,2357.05,45.00,1.00
12.56,374.74,2356.04,45.00,1.00
12.62,366.69,2355.43,45.00,1.00
12.68,359.21,2355.77,45.00,1.00
12.73,352.29,2356.11,45.00,1.00
12.78,345.94,2356.48,45.00,1.00
12.82,340.14,2356.64,45.00,1.00
12.86,334.46,2356.63,45.00,1.00
12.91,328.84,2356.42,45.00,1.00
12.95,323.28,2356.08,45.00,1.00
12.99,317.78,2355.59,45.00,1.00
13.03,312.36,2355.71,45.00,1.00
13.06,307.32,2355.61,45.00,1.00
13.10,302.68,2355.40,45.00,1.00
13.13,298.46,2355.11,45.00,1.00
13.16,294.65,2354.77,45.00,1.00
13.18,291.23,2354.42,45.00,1.00
13.20,288.06,2354.06,45.00,1.00
13.23,285.12,2353.70,45.00,1.00
13.25,282.39,2353.34,45.00,1.00
13.26,279.89,2352.99,45.00,1.00
13.28,277.60,2352.66,45.00,1.00
13.30,275.49,2352.35,45.00,1.00
13.31,273.56,2352.12,45.00,1.00
13.33,271.79,2352.27,45.00,1.00
13.34,270.19,2352.31,45.00,1.00
13.35,268.79,2352.30,45.00,1.00
13.36,267.75,2352.26,45.00,1.00
13.36,267.08,2352.24,45.00,1.00
13.36,266.79,2352.22,45.00,1.00
13.36,266.88,2352.24,45.00,1.00
13.36,267.29,2352.26,45.00,1.00
13.36,267.62,2352.27,45.00,1.00
13.35,267.80,2352.28,45.00,1.00
13.35,267.83,2352.29,45.00,1.00
13.35,267.72,2352.28,45.00,1.00
13.36,267.43,2352.27,45.00,1.00
13.36,266.75,2352.24,45.00,1.00
13.37,265.66,2352.19,45.00,1.00
13.38,264.15,2352.08,45.00,1.00
13.40,262.21,2351.90,45.00,1.00
13.42,259.93,2351.66,45.00,1.00
13.43,257.66,2351.37,45.00,1.00
13.45,255.48,2351.07,45.00,1.00
13.47,253.37,2350.75,45.00,1.00
13.48,251.36,2350.43,45.00,1.00
13.50,249.42,2350.10,45.00,1.00
13.51,247.56,2349.77,45.00,1.00
13.52,245.79,2349.45,45.00,1.00
14.46,119.27,2319.81,45.00,1.00
14.42,126.28,2321.05,45.00,1.00
14.38,132.76,2322.28,45.00,1.00
14.34,138.73,2323.52,45.00,1.00
14.30,144.19,2324.77,45.00,1.00
14.27,149.16,2326.02,45.00,1.00
14.23,153.67,2327.29,45.00,1.00
14.19,157.94,2328.58,45.00,1.00
14.15,163.19,2330.08,45.00,1.00
14.10,169.63,2331.84,45.00,1.00
14.04,177.26,2333.87,45.00,1.00
13.97,186.09,2336.10,45.00,1.00
13.90,195.93,2338.51,45.00,1.00
13.83,205.75,2340.89,45.00,1.00
13.75,215.39,2343.17,45.00,1.00
13.68,224.84,2345.34,45.00,1.00
13.61,234.10,2347.43,45.00,1.00
13.54,243.23,2349.34,45.00,1.00
13.47,252.47,2351.03,45.00,1.00
13.39,261.88,2352.24,45.00,1.00
13.31,271.46,2352.40,45.00,1.00
13.23,281.22,2353.82,45.00,1.00
13.15,291.21,2354.90,45.00,1.00
13.07,301.58,2355.46,45.00,1.00
12.99,312.29,2355.56,45.00,1.00
12.91,323.30,2356.29,45.00,1.00
12.83,334.62,2356.37,45.00,1.00
12.74,346.04,2355.74,45.00,1.00
12.67,356.02,2354.88,45.00,1.00
12.61,364.26,2355.44,45.00,1.00
12.57,370.81,2355.95,45.00,1.00
